label;text;context
1;Implying he isn’t already? We’ve all seen what what Big Mike has in store under those dresses.;pushing conspiracy theory that michelle obama is a man
1;Here’s to the continued good health of Ruth Bader Ginsburg;sarcasm hoping for RBGs death
1;Finally some good news for a change.;referring to hospitalization of RBG
1;I’m just wondering why some Oompa Loompas aren’t rolling that woman out of the picture;picture is of an overweight woman
1;If she spent as much time in the gym as she did on her hair she’d be in good shape!;referring to overweight woman
1;No interest here in a fat whale.;referring to overweight woman
1;She has absolutely no problem with proudly proclaiming to all the world that she's basically a public toilet...;referring to sexually promiscuous woman
1;Eww race mixing..;referring to picture of black man and white woman
1;Are they allowed to be in the same room?;referring to picture of black man and white woman
1;Man why are those objects rioting?;referring to picture of womens rights rally
0;if i had a friend like that, id kill him!;made this up, sarcasm about something a friend would do
0;theres no reason why you should kill yourself;made this up, someone trying to support another in a hard time
